Fluorescence,Input Resistance (megaohm),Cell Capacitance (pF),Membrane Time Constant (ms),Rheobase (nA),fI slope (Hz/nA),Spike Threshold (mV),Spike Amplitude (mV),Spike Halfwidth (ms),Sag Amplitude (mV)
SST+,228.7383325,72.84134868,16.66160863,0.045373135,335.000002,-26.12032725,72.83816561,0.682995951,2.938325454
NF,173.4073561,134.4194332,23.30931851,0.084341085,122.8571429,-24.13902624,97.99532594,0.762962963,3.115265185
SST+,207.2454976,68.40603858,14.1768435,0.055609756,409.9999996,-33.2035627,63.80597118,0.655595668,2.490732906
NF,134.7718395,47.90008675,6.455582805,0.179607843,765.0000011,-34.15078505,75.25588078,0.396212121,8.730801669
NF,154.2341732,122.3183339,18.8656671,0.093333333,135.0000001,-27.65796638,101.1563438,0.877777778,11.15678737
NF,93.69957447,161.3542418,15.1188238,0.133873874,105.7142858,-30.49410075,99.72204535,0.769230769,8.909899779
,,,,,,,,,7.169473051
,,,,,,,,,6.018132281
,,,,,,,,,4.297738123
,,,,,,,,,9.184249724
,,,,,,,,,3.109712088
,,,,,,,,,8.146960326
,,,,,,,,,4.320556386
,,,,,,,,,2.725622582
,,,,,,,,,2.83536044
